Tên thuốc (*),Loại thuốc (*),Đơn vị cơ bản (*),Đơn giá bán (VNĐ) (*),Số lượng ban đầu (*),Hạn sử dụng (dd/MM/yyyy) (*),Vị trí kệ,Hoạt chất chính,Nhóm điều trị,Công dụng / Chỉ định,Chống chỉ định,Liều lượng
Panadol Extra,Thuốc không kê đơn,Viên,5000,100,31/12/2027,Kệ A - Tầng 1,"Paracetamol 500mg, Caffeine 65mg",Hạ sốt - Giảm đau,"Hạ sốt, giảm đau đầu",Mẫn cảm với paracetamol,Uống 1-2 viên mỗi 4-6 giờ
Amoxicillin 500mg,Thuốc kê đơn,Viên,8000,150,30/06/2027,Kệ B - Tầng 2,Amoxicillin 500mg,Kháng sinh - Kháng viêm,Điều trị nhiễm khuẩn,Mẫn cảm với penicillin,Uống theo chỉ định bác sĩ
Decolgen Forte,Thuốc không kê đơn,Viên,3000,200,15/12/2027,Kệ A - Tầng 2,"Acetaminophen, Phenylephrine, Chlorpheniramine",Hô hấp - Cảm cúm,"Điều trị cảm cúm, nghẹt mũi",Suy gan thận nặng,Uống 1 viên mỗi 4-6 giờ
Hapacol 250,Thuốc không kê đơn,Gói,4000,80,30/09/2027,Kệ A - Tầng 3,Paracetamol 250mg,Hạ sốt - Giảm đau,"Hạ sốt, giảm đau ở trẻ em",Suy gan nặng,Hòa tan uống mỗi 4-6 giờ
Efferalgan 500mg,Thuốc không kê đơn,Viên sủi,6000,120,31/03/2028,Kệ A - Tầng 1,Paracetamol 500mg,Hạ sốt - Giảm đau,"Hạ sốt, đau răng, đau cơ",Suy gan nặng,Hòa tan 1 viên vào nước uống
Augmentin 1g,Thuốc kê đơn,Viên,25000,60,31/10/2027,Kệ B - Tầng 1,"Amoxicillin 875mg, Clavulanic acid 125mg",Kháng sinh - Kháng viêm,"Nhiễm khuẩn đường hô hấp, da",Tiền sử vàng da do amoxicillin,Uống theo đơn bác sĩ
Gaviscon Dual Action,Thuốc không kê đơn,Gói,12000,100,30/11/2027,Kệ C - Tầng 2,"Sodium alginate, Calcium carbonate",Hỗ trợ tiêu hóa,"Trào ngược dạ dày, ợ chua",Mẫn cảm thành phần thuốc,Uống 1 gói sau bữa ăn
Maalox,Thuốc không kê đơn,Viên,2500,150,30/04/2028,Kệ C - Tầng 1,"Aluminium hydroxide 400mg, Magnesium hydroxide 400mg",Hỗ trợ tiêu hóa,"Viêm dạ dày, đầy hơi",Suy thận nặng,Nhai 1-2 viên sau bữa ăn
Boganic,Thực phẩm chức năng,Viên,3500,300,15/06/2028,Kệ D - Tầng 2,"Actiso, Rau đắng đất, Bìm bìm",Tăng đề kháng & Miễn dịch,"Bổ gan, giải độc, hạ men gan",Mẫn cảm thành phần thuốc,"Uống 2 viên/lần, ngày 3 lần"
Salonpas Patch,Thuốc không kê đơn,Hộp,22000,50,31/12/2027,Kệ F - Tầng 1,"Methyl salicylate, L-Menthol",Hạ sốt - Giảm đau,"Giảm đau mỏi cơ, khớp","Vết thương hở, vùng da nhạy cảm",Dán trực tiếp lên vùng đau
Smecta,Thuốc không kê đơn,Gói,5000,200,30/06/2027,Kệ C - Tầng 3,Dioctahedral smectite 3g,Hỗ trợ tiêu hóa,Điều trị tiêu chảy cấp,Mẫn cảm thành phần thuốc,"Hòa nước uống, tối đa 3 gói/ngày"
Berberin,Thuốc không kê đơn,Viên,500,1000,31/12/2028,Kệ C - Tầng 1,Berberin chloride 50mg,Hỗ trợ tiêu hóa,"Trị tiêu chảy, lỵ trực khuẩn",Phụ nữ có thai,"Uống 4-6 viên/lần, ngày 2 lần"
Vitamin C 500mg,Thực phẩm chức năng,Viên sủi,5000,150,31/12/2027,Kệ E - Tầng 1,Acid Ascorbic 500mg,Tăng đề kháng & Miễn dịch,"Bổ sung Vitamin C, tăng đề kháng",Người sỏi thận,Hòa tan 1 viên vào nước uống sáng
Enervon,Thực phẩm chức năng,Viên,2800,250,30/09/2027,Kệ E - Tầng 2,"Vitamin C, Vitamin B-complex",Tăng đề kháng & Miễn dịch,"Bổ sung vitamin, phục hồi sức khỏe",Mẫn cảm thành phần thuốc,Uống 1 viên mỗi ngày sau bữa ăn
Neurobion,Thuốc không kê đơn,Viên,3200,180,31/03/2028,Kệ E - Tầng 3,"Vitamin B1, B6, B12",Bổ não & Giảm căng thẳng,Điều trị đau dây thần kinh,Mẫn cảm thành phần thuốc,Uống 1-3 viên mỗi ngày
Otrivin 0.1%,Thuốc không kê đơn,Chai,55000,40,30/04/2027,Kệ A - Tầng 4,Xylometazoline hydrochloride 0.1%,Hô hấp - Cảm cúm,"Ngạt mũi, nghẹt mũi do cảm",Người phẫu thuật cắt tuyến yên,Xịt 1 lần vào mỗi bên mũi
Strepsils Cool,Sản phẩm tiện lợi,Gói,6000,300,31/12/2028,Kệ H - Tầng 1,"Dichlorobenzyl alcohol, Amylmetacresol",Kẹo ngậm & Đồ uống,"Giảm đau họng, sát trùng họng",Trẻ em dưới 6 tuổi,Ngậm 1 viên cách mỗi 2-3 giờ
Eugica,Thuốc không kê đơn,Viên,1500,400,30/06/2028,Kệ A - Tầng 3,"Eucalyptol, Menthol, Tinh dầu tràm",Hô hấp - Cảm cúm,"Trị ho, đau họng, loãng đờm",Mẫn cảm thành phần thuốc,"Uống 1-2 viên/lần, ngày 3 lần"
Durex Kingtex,Sản phẩm tiện lợi,Hộp,65000,30,31/05/2029,Kệ H - Tầng 2,Natural rubber latex,Sản phẩm tiện lợi,"Phòng tránh thai, bệnh lây qua đường tình dục",Dị ứng với cao su latex,Sử dụng trước khi quan hệ
Cetaphil Gentle Cleanser,Dược mỹ phẩm,Chai,150000,20,31/10/2027,Kệ G - Tầng 1,"Water, Cetyl alcohol, Propylene glycol",Chăm sóc da - Dược mỹ phẩm,Làm sạch da dịu nhẹ không xà phòng,Mẫn cảm thành phần thuốc,Dùng rửa mặt sáng và tối
Bioderma Sensibio H2O,Dược mỹ phẩm,Chai,240000,15,31/08/2027,Kệ G - Tầng 2,Micellar water,Chăm sóc da - Dược mỹ phẩm,"Tẩy trang, làm sạch da nhạy cảm",Mẫn cảm thành phần thuốc,Thấm bông tẩy trang lau sạch mặt
Laroche Posay Cicaplast B5,Dược mỹ phẩm,Tuýp,320000,25,30/11/2027,Kệ G - Tầng 1,"Panthenol 5%, Madecassoside",Chăm sóc da - Dược mỹ phẩm,"Phục hồi da kích ứng, tổn thương",Mẫn cảm thành phần thuốc,Thoa trực tiếp lên vùng da tổn thương
Oresol 245,Thuốc không kê đơn,Gói,2000,500,31/12/2028,Kệ C - Tầng 4,"Anhydrous glucose, Sodium chloride",Hỗ trợ tiêu hóa,Bù nước và điện giải khi tiêu chảy,"Vô niệu, giảm niệu",Hòa 1 gói vào 200ml nước đun sôi
Tiffy Dey,Thuốc không kê đơn,Viên,1500,300,30/06/2027,Kệ A - Tầng 2,"Acetaminophen, Phenylephrine, Chlorpheniramine",Hô hấp - Cảm cúm,"Trị cảm cúm, sổ mũi, nhức đầu","Cơn hen cấp, glaucoma góc hẹp","Uống 1-2 viên/lần, ngày 3-4 lần"
Alaxan,Thuốc không kê đơn,Viên,3500,150,31/01/2028,Kệ F - Tầng 2,"Paracetamol, Ibuprofen",Hạ sốt - Giảm đau,"Giảm đau xương khớp, đau cơ",Loét dạ dày tá tràng tiến triển,Uống 1 viên sau ăn mỗi 6 giờ
Voltaren Emulgel,Thuốc không kê đơn,Tuýp,75000,35,30/04/2027,Kệ F - Tầng 3,Diclofenac diethylamine 1.16%,Hạ sốt - Giảm đau,"Điều trị viêm khớp, giảm sưng","Mẫn cảm với aspirin, NSAIDs",Thoa nhẹ nhàng lên vùng đau khớp
Bisolvon 8mg,Thuốc không kê đơn,Viên,2000,120,31/10/2027,Kệ A - Tầng 3,Bromhexine hydrochloride 8mg,Hô hấp - Cảm cúm,Làm loãng đờm trong bệnh phế quản,Mẫn cảm thành phần thuốc,"Uống 1 viên/lần, ngày 3 lần"
Acemuc 200mg,Thuốc không kê đơn,Gói,4500,200,31/12/2027,Kệ A - Tầng 3,Acetylcysteine 200mg,Hô hấp - Cảm cúm,"Trị ho có đờm, viêm phế quản",Tiền sử hen phế quản,"Hòa nước uống, ngày 3 lần"
Cotrimoxazole 480mg,Thuốc kê đơn,Viên,1200,250,30/06/2027,Kệ B - Tầng 2,"Sulfamethoxazole, Trimethoprim",Kháng sinh - Kháng viêm,Điều trị nhiễm khuẩn đường tiết niệu,Tổn thương gan nặng,Uống theo chỉ định của bác sĩ
Ciprofloxacin 500mg,Thuốc kê đơn,Viên,4000,100,31/08/2027,Kệ B - Tầng 1,Ciprofloxacin hydrochloride,Kháng sinh - Kháng viêm,"Nhiễm khuẩn hô hấp, sinh dục",Mẫn cảm nhóm quinolone,Uống theo đơn bác sĩ
Klacid 500mg,Thuốc kê đơn,Viên,32000,40,31/10/2027,Kệ B - Tầng 1,Clarithromycin 500mg,Kháng sinh - Kháng viêm,"Trị viêm phổi, viêm xoang",Suy gan thận nặng,Uống theo chỉ định bác sĩ
Mebendazole 500mg,Thuốc không kê đơn,Viên,15000,50,31/12/2028,Kệ C - Tầng 1,Mebendazole 500mg,Hỗ trợ tiêu hóa,"Tẩy giun đũa, giun kim","Phụ nữ có thai, trẻ dưới 2 tuổi",Uống 1 viên duy nhất
Fugacar,Thuốc không kê đơn,Viên,22000,80,30/06/2028,Kệ C - Tầng 2,Mebendazole 500mg,Hỗ trợ tiêu hóa,Điều trị giun truyền qua đất,Trẻ em dưới 1 tuổi,Nhai 1 viên duy nhất
Duphalac,Thuốc không kê đơn,Gói,7000,100,31/03/2028,Kệ C - Tầng 4,Lactulose 66.7g/100ml,Hỗ trợ tiêu hóa,Điều trị táo bón,Tắc nghẽn ruột,Uống 1-3 gói vào buổi sáng
Loperamide 2mg,Thuốc không kê đơn,Viên,1000,300,31/12/2027,Kệ C - Tầng 3,Loperamide hydrochloride 2mg,Hỗ trợ tiêu hóa,Khống chế triệu chứng tiêu chảy,Viêm đại tràng giả mạc,"Uống 2 viên ban đầu, sau đó 1 viên"
Pancreatin,Thực phẩm chức năng,Viên,3000,150,30/09/2027,Kệ D - Tầng 1,"Pancreatin, Amylase, Lipase",Hỗ trợ tiêu hóa,Hỗ trợ tiêu hóa thức ăn,Mẫn cảm thành phần thuốc,Uống 1-2 viên trong bữa ăn
Pharmaton,Thực phẩm chức năng,Viên,4500,100,31/05/2027,Kệ E - Tầng 2,"Ginseng extract, Vitamins, Minerals",Tăng đề kháng & Miễn dịch,"Giảm mệt mỏi, bổ sung vitamin",Rối loạn chuyển hóa canxi,Uống 1 viên vào bữa sáng
Centrum Silver,Thực phẩm chức năng,Viên,8000,60,31/12/2027,Kệ E - Tầng 3,"Multivitamins, Minerals",Tăng đề kháng & Miễn dịch,Bổ sung vi chất cho người trên 50 tuổi,Mẫn cảm thành phần thuốc,Uống 1 viên mỗi ngày sau ăn
Ginkgo Biloba 120mg,Thực phẩm chức năng,Viên,3500,200,30/06/2028,Kệ E - Tầng 4,Ginkgo Biloba extract 120mg,Bổ não & Giảm căng thẳng,"Cải thiện trí nhớ, tuần hoàn não","Phụ nữ có thai, người xuất huyết",Uống 1-2 viên mỗi ngày
Calcium D3,Thực phẩm chức năng,Viên,2500,250,31/03/2028,Kệ E - Tầng 4,"Calcium carbonate, Vitamin D3",Xương khớp chắc khỏe,Hỗ trợ phòng ngừa loãng xương,Tăng canxi huyết,Uống 1 viên mỗi ngày vào buổi sáng
Glucosamine 1500mg,Thực phẩm chức năng,Viên,6000,120,31/10/2028,Kệ E - Tầng 4,Glucosamine sulfate,Xương khớp chắc khỏe,"Giúp tăng tiết dịch khớp, giảm đau",Dị ứng với hải sản,Uống 1 viên mỗi ngày sau ăn
Prenatal Multi + DHA,Mẹ và bé,Viên,7500,80,30/06/2027,Kệ J - Tầng 1,"Vitamins, Minerals, DHA",Dành cho Mẹ bầu,Bổ sung DHA và vitamin cho mẹ bầu,Mẫn cảm thành phần thuốc,Uống 1 viên mỗi ngày sau ăn
Physiomer Baby,Mẹ và bé,Chai,160000,30,31/03/2027,Kệ J - Tầng 2,Isotonic seawater,Trẻ sơ sinh (0 - 6 tháng),Làm sạch mũi dịu nhẹ cho bé,Mẫn cảm thành phần thuốc,Xịt vệ sinh mũi hàng ngày cho bé
